supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-04-02T05:43:25.114654,Next Pledge Tracker 12m v10,23.08,,,53.95,5.24,28.74,25,,
eon_next,East Midlands,DE23 6JJ,2026-04-02T05:44:50.806467,Next Pledge Tracker 12m v10,21.82,,,53.61,5.16,28.82,25,,
eon_next,London,N5 2SD,2026-04-02T05:45:36.726803,Next Pledge Tracker 12m v10,23.04,,,44.83,5.48,29.6,25,,
eon_next,North Wales & Merseyside,L3 2BN,2026-04-02T05:46:55.132217,Next Pledge Tracker 12m v10,24.34,,,70.78,5.26,29.48,25,,
eon_next,West Midlands,SY2 6HL,2026-04-02T05:47:41.375846,Next Pledge Tracker 12m v10,22.04,,,59.72,5.25,29.11,25,,
eon_next,North East,NE2 1UY,2026-04-02T05:48:58.792447,Next Pledge Tracker 12m v10,21.95,,,64.3,5.26,29.2,25,,
eon_next,North West,PR4 2NB,2026-04-02T05:50:53.356588,Next Pledge Tracker 12m v10,22.85,,,47.63,5.21,29.22,25,,
eon_next,South East,BN2 7HQ,2026-04-02T05:51:26.879817,Next Pledge Tracker 12m v10,23.37,,,54.45,5.36,28.67,25,,
eon_next,Southern,PO2 7PH,2026-04-02T05:52:55.837391,Next Pledge Tracker 12m v10,23.13,,,49.7,5.5,28.56,25,,
eon_next,South Wales,CF23 6HH,2026-04-02T05:54:05.013983,Next Pledge Tracker 12m v10,23.05,,,57.86,5.4,29.35,25,,
eon_next,South West,PL9 7BS,2026-04-02T05:54:38.620467,Next Pledge Tracker 12m v10,23.11,,,57.9,5.45,28.72,25,,
eon_next,Yorkshire,YO31 1DT,2026-04-02T05:55:19.199476,Next Pledge Tracker 12m v10,21.95,,,64.3,5.26,29.2,25,,
eon_next,North Scotland,AB24 3EN,2026-04-02T05:56:29.585002,Next Pledge Tracker 12m v10,23.16,,,57.57,5.21,29.27,25,,
eon_next,South Scotland,G20 6NQ,2026-04-02T05:57:49.808031,Next Pledge Tracker 12m v10,22.54,,,64.2,5.21,29.3,25,,
british_gas,Eastern,IP4 5ET,2026-04-02T05:43:35.511441,Fixed Tariff Apr27 v1,26.416,,,47.841,7.062,33.239,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-04-02T05:45:43.963514,Fixed Tariff Apr27 v1,25.484,,,48.674,7.137,33.322,£50 per fuel,,
british_gas,London,N5 2SD,2026-04-02T05:46:46.174997,Fixed Tariff Apr27 v1,25.4,,,45.645,7.537,34.142,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-04-02T05:49:04.330055,Fixed Tariff Apr27 v1,27.794,,,69.537,7.419,34.004,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-04-02T05:51:09.281301,Fixed Tariff Apr27 v1,25.774,,,52.59,7.208,33.625,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-04-02T05:52:21.074616,Fixed Tariff Apr27 v1,26.023,,,59.454,7.112,33.716,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-04-02T05:54:49.179824,Fixed Tariff Apr27 v1,25.533,,,50.747,7.195,33.745,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-04-02T05:55:55.157851,Fixed Tariff Apr27 v1,27.238,,,47.184,7.34,33.173,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-04-02T05:56:55.477738,Fixed Tariff Apr27 v1,26.666,,,44.213,7.538,33.052,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-04-02T05:59:10.145306,Fixed Tariff Apr27 v1,26.96,,,51.278,7.406,33.871,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-04-02T06:01:17.055813,Fixed Tariff Apr27 v1,26.481,,,53.622,7.524,33.213,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-04-02T06:02:22.138625,Fixed Tariff Apr27 v1,26.023,,,59.454,7.112,33.716,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-04-02T06:04:42.005947,Fixed Tariff Apr27 v1,26.216,,,60.587,7.062,33.785,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-04-02T06:06:52.040505,Fixed Tariff Apr27 v1,26.716,,,56.14,7.062,33.815,£50 per fuel,,
ovo,Eastern,IP4 5ET,2026-04-02T05:43:34.985580,1 Year Fixed,27.24,,,64.72,8.45,26.07,£50 per fuel,12,
ovo,East Midlands,DE23 6JJ,2026-04-02T05:45:05.740299,1 Year Fixed,26.19,,,64.4,8.39,26.16,£50 per fuel,12,
ovo,London,N5 2SD,2026-04-02T05:46:36.774213,1 Year Fixed,26.94,,,56.21,8.75,26.78,£50 per fuel,12,
ovo,North Wales & Merseyside,L3 2BN,2026-04-02T05:49:29.236192,1 Year Fixed,28.53,,,80.72,8.57,26.75,£50 per fuel,12,
ovo,West Midlands,SY2 6HL,2026-04-02T05:50:55.370531,1 Year Fixed,26.32,,,70.17,8.47,26.39,£50 per fuel,12,
ovo,North East,NE2 1UY,2026-04-02T05:52:22.206491,1 Year Fixed,26.27,,,74.51,8.56,26.5,£50 per fuel,12,
ovo,North West,PR4 2NB,2026-04-02T05:55:53.070077,1 Year Fixed,30.31,,19.81,58.35,8.41,26.52,£50 per fuel,12,
ovo,South East,BN2 7HQ,2026-04-02T05:57:35.564588,1 Year Fixed,27.48,,,65.19,8.59,26.04,£50 per fuel,12,
ovo,Southern,BH6 4AS,2026-04-02T05:59:02.125711,1 Year Fixed,26.91,,,60.72,8.8,25.92,£50 per fuel,12,
ovo,South Wales,CF14 2DY,2026-04-02T06:02:11.449850,1 Year Fixed,27.32,,,68.45,8.6,26.67,£50 per fuel,12,
ovo,South West,PL9 7BS,2026-04-02T06:03:35.849625,1 Year Fixed,27.26,,,68.47,8.73,26.04,£50 per fuel,12,
ovo,Yorkshire,YO31 1DT,2026-04-02T06:04:57.120132,1 Year Fixed,26.27,,,74.51,8.56,26.5,£50 per fuel,12,
ovo,North Scotland,AB24 3EN,2026-04-02T06:07:50.778345,1 Year Fixed,26.96,,,68.22,8.57,26.58,£50 per fuel,12,
ovo,South Scotland,G20 6NQ,2026-04-02T06:09:14.154697,1 Year Fixed,27.0,,,74.42,8.57,26.6,£50 per fuel,12,
octopus,Eastern,IP4 5ET,2026-02-09T19:00:56.035644,Agile Octopus,19.9605,,,48.788145,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-02-09T19:00:56.036644,Agile Octopus,19.005,,,54.84696,,,£0,,
octopus,London,N5 2SD,2026-02-09T19:00:56.036644,Agile Octopus,19.005,,,39.535125,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2026-02-09T19:00:56.036644,Agile Octopus,20.9055,,,65.83542,,,£0,,
octopus,West Midlands,SY2 6HL,2026-02-09T19:00:56.037169,Agile Octopus,19.9605,,,61.56108,,,£0,,
octopus,North East,NE2 1UY,2026-02-09T19:00:56.037169,Agile Octopus,19.9605,,,70.04823,,,£0,,
octopus,North West,PR4 2NB,2026-02-09T19:00:56.037169,Agile Octopus,19.9605,,,49.98336,,,£0,,
octopus,Southern,BH6 4AS,2026-02-09T19:00:56.038207,Agile Octopus,19.9605,,,62.224785,,,£0,,
octopus,South East,BN2 7HQ,2026-02-09T19:00:56.038207,Agile Octopus,20.9055,,,55.78566,,,£0,,
octopus,South Wales,CF14 2DY,2026-02-09T19:00:56.038207,Agile Octopus,20.9055,,,62.064135,,,£0,,
octopus,South West,PL9 7BS,2026-02-09T19:00:56.038207,Agile Octopus,21.861,,,66.066105,,,£0,,
octopus,Yorkshire,YO31 1DT,2026-02-09T19:00:56.038207,Agile Octopus,19.005,,,66.26277,,,£0,,
octopus,South Scotland,G20 6NQ,2026-02-09T19:00:56.038207,Agile Octopus,19.9605,,,62.11863,,,£0,,
octopus,North Scotland,AB24 3EN,2026-02-09T19:00:56.038207,Agile Octopus,22.806,,,59.928225,,,£0,,
octopus,Eastern,IP4 5ET,2026-02-09T19:01:08.092703,Cosy Octopus,14.62608,,,48.388515,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-02-09T19:01:08.092703,Cosy Octopus,14.08806,,,48.31659,,,£0,,
octopus,London,N5 2SD,2026-02-09T19:01:08.092703,Cosy Octopus,14.131005,,,45.465735,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2026-02-09T19:01:08.092703,Cosy Octopus,15.283905,,,69.026055,,,£0,,
octopus,West Midlands,SY2 6HL,2026-02-09T19:01:08.092703,Cosy Octopus,14.137935,,,52.493595,,,£0,,
octopus,North East,NE2 1UY,2026-02-09T19:01:08.092703,Cosy Octopus,14.01855,,,58.897125,,,£0,,
octopus,North West,PR4 2NB,2026-02-09T19:01:08.092703,Cosy Octopus,14.9457,,,50.28996,,,£0,,
octopus,Southern,BH6 4AS,2026-02-09T19:01:08.092703,Cosy Octopus,14.596155,,,44.50782,,,£0,,
octopus,South East,BN2 7HQ,2026-02-09T19:01:08.092703,Cosy Octopus,14.841015,,,47.76429,,,£0,,
octopus,South Wales,CF14 2DY,2026-02-09T19:01:08.092703,Cosy Octopus,14.79387,,,50.48274,,,£0,,
octopus,South West,PL9 7BS,2026-02-09T19:01:08.092703,Cosy Octopus,14.788305,,,54.389265,,,£0,,
octopus,Yorkshire,YO31 1DT,2026-02-09T19:01:08.092703,Cosy Octopus,13.96521,,,57.84429,,,£0,,
octopus,South Scotland,G20 6NQ,2026-02-09T19:01:08.092703,Cosy Octopus,14.24304,,,57.28044,,,£0,,
octopus,North Scotland,AB24 3EN,2026-02-09T19:01:08.092703,Cosy Octopus,14.916615,,,61.67889,,,£0,,
octopus,Eastern,IP4 5ET,2026-02-09T19:01:13.572552,Cosy Octopus 12M Fixed,28.649355,,,47.7036,,,£25 per fuel,,
octopus,East Midlands,DE23 6JJ,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,27.59547,,,47.631675,,,£25 per fuel,,
octopus,London,N5 2SD,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,27.67968,,,44.78082,,,£25 per fuel,,
octopus,North Wales & Merseyside,L3 2BN,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,29.93802,,,68.34114,,,£25 per fuel,,
octopus,West Midlands,SY2 6HL,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,27.693225,,,51.80868,,,£25 per fuel,,
octopus,North East,NE2 1UY,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,27.459495,,,58.21221,,,£25 per fuel,,
octopus,North West,PR4 2NB,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,29.275575,,,49.605045,,,£25 per fuel,,
octopus,Southern,BH6 4AS,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,28.59087,,,43.822905,,,£25 per fuel,,
octopus,South East,BN2 7HQ,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,29.070405,,,47.07927,,,£25 per fuel,,
octopus,South Wales,CF14 2DY,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,28.978215,,,49.797825,,,£25 per fuel,,
octopus,South West,PL9 7BS,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,28.96719,,,53.70435,,,£25 per fuel,,
octopus,Yorkshire,YO31 1DT,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,27.354915,,,57.15927,,,£25 per fuel,,
octopus,South Scotland,G20 6NQ,2026-02-09T19:01:13.573562,Cosy Octopus 12M Fixed,27.89913,,,56.595525,,,£25 per fuel,,
