supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-03-22T04:10:10.878634,Next Pledge Tracker 12m v10,23.08,,,53.95,5.24,28.74,25,,
eon_next,East Midlands,DE23 6JJ,2026-03-22T04:11:49.480640,,,,,,,,,,Could not extract rates
eon_next,London,N5 2SD,2026-03-22T04:12:30.761846,Next Pledge Tracker 12m v10,23.04,,,44.83,5.48,29.6,25,,
eon_next,North Wales & Merseyside,L3 2BN,2026-03-22T04:13:43.132708,Next Pledge Tracker 12m v10,24.34,,,70.78,5.26,29.48,25,,
eon_next,West Midlands,SY2 6HL,2026-03-22T04:14:25.649662,Next Pledge Tracker 12m v10,22.04,,,59.72,5.25,29.11,25,,
eon_next,North East,NE2 1UY,2026-03-22T04:15:43.735661,Next Pledge Tracker 12m v10,21.95,,,64.3,5.26,29.2,25,,
eon_next,North West,PR4 2NB,2026-03-22T04:17:39.994410,Next Pledge Tracker 12m v10,22.85,,,47.63,5.21,29.22,25,,
eon_next,South East,BN2 7HQ,2026-03-22T04:18:17.141607,Next Pledge Tracker 12m v10,23.37,,,54.45,5.36,28.67,25,,
eon_next,Southern,BH6 4AS,2026-03-22T04:19:47.050361,,,,,,,,,,No valid residential addresses found
eon_next,South Wales,CF14 2DY,2026-03-22T04:21:54.780532,,,,,,,,,,No valid residential addresses found
eon_next,South West,PL9 7BS,2026-03-22T04:22:21.062910,Next Pledge Tracker 12m v10,23.11,,,57.9,5.45,28.72,25,,
eon_next,Yorkshire,YO31 1DT,2026-03-22T04:23:00.152389,Next Pledge Tracker 12m v10,21.95,,,64.3,5.26,29.2,25,,
eon_next,North Scotland,AB24 3EN,2026-03-22T04:25:42.874344,,,,,,,,,,Could not extract rates
eon_next,South Scotland,G20 6NQ,2026-03-22T04:27:06.508717,Next Pledge Tracker 12m v10,22.54,,,64.2,5.21,29.3,25,,
british_gas,Eastern,IP4 5ET,2026-03-22T04:09:59.353055,"variable tariff, tracking below the Ofgem Price Cap – helping you save up to",24.936,,,47.098,5.673,21.895,£25 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-03-22T04:12:14.524194,"variable tariff, tracking below the Ofgem Price Cap – helping you save up to",23.673,,,46.758,5.601,21.975,£25 per fuel,,
british_gas,London,N5 2SD,2026-03-22T04:16:09.197366,,,,,,,,,,"Timeout: Locator.wait_for: Timeout 20000ms exceeded.
Call log:
  - waiting for locator(""#address-select"") to be visible
"
british_gas,North Wales & Merseyside,L3 2BN,2026-03-22T04:18:34.674615,"variable tariff, tracking below the Ofgem Price Cap – helping you save up to",26.192,,,63.929,5.692,22.628,£25 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-03-22T04:19:27.647811,"variable tariff, tracking below the Ofgem Price Cap – helping you save up to",23.893,,,52.874,5.687,22.263,£25 per fuel,,
british_gas,North East,NE2 1UY,2026-03-22T04:21:48.883163,"variable tariff, tracking below the Ofgem Price Cap – helping you save up to",23.808,,,57.448,5.694,22.349,£25 per fuel,,
british_gas,North West,PR4 2NB,2026-03-22T04:26:59.026785,"variable tariff, tracking below the Ofgem Price Cap – helping you save up to",24.702,,,40.777,5.65,22.372,£25 per fuel,,
british_gas,South East,BN2 7HQ,2026-03-22T04:30:51.467886,,,,,,,,,,"Timeout: Locator.wait_for: Timeout 20000ms exceeded.
Call log:
  - waiting for locator(""#address-select"") to be visible
"
british_gas,Southern,BH6 4AS,2026-03-22T04:31:42.745749,"variable tariff, tracking below the Ofgem Price Cap – helping you save up to",24.981,,,42.854,5.939,21.708,£25 per fuel,,
british_gas,South Wales,CF14 2DY,2026-03-22T04:35:15.919150,"variable tariff, tracking below the Ofgem Price Cap – helping you save up to",24.901,,,51.012,5.837,22.502,£25 per fuel,,
british_gas,South West,PL9 7BS,2026-03-22T04:37:15.729001,"variable tariff, tracking below the Ofgem Price Cap – helping you save up to",24.965,,,51.053,5.889,21.868,£25 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-03-22T04:41:04.747816,"variable tariff, tracking below the Ofgem Price Cap – helping you save up to",23.808,,,57.448,5.694,22.349,£25 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-03-22T04:43:29.945877,"variable tariff, tracking below the Ofgem Price Cap – helping you save up to",25.016,,,50.716,5.644,22.424,£25 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-03-22T04:45:47.160366,"variable tariff, tracking below the Ofgem Price Cap – helping you save up to",24.396,,,57.347,5.644,22.447,£25 per fuel,,
ovo,Eastern,IP4 5ET,2026-03-22T04:09:53.233292,1 Year Fixed,31.41,,,66.44,9.07,27.08,£50 per fuel,12,
ovo,East Midlands,DE23 6JJ,2026-03-22T04:11:20.258818,1 Year Fixed,30.42,,,66.15,9.01,27.15,£50 per fuel,12,
ovo,London,N5 2SD,2026-03-22T04:12:45.979387,1 Year Fixed,31.1,,,58.11,9.36,27.76,£50 per fuel,12,
ovo,North Wales & Merseyside,L3 2BN,2026-03-22T04:15:53.916065,1 Year Fixed,32.5,,,82.57,9.18,27.76,£50 per fuel,12,
ovo,West Midlands,SY2 6HL,2026-03-22T04:17:26.854521,1 Year Fixed,30.42,,,71.87,9.09,27.39,£50 per fuel,12,
ovo,North East,NE2 1UY,2026-03-22T04:18:58.500467,1 Year Fixed,30.39,,,76.26,9.18,27.51,£50 per fuel,12,
ovo,North West,PR4 2NB,2026-03-22T04:22:15.911579,1 Year Fixed,34.42,,23.92,58.35,9.01,27.52,£50 per fuel,12,
ovo,South East,BN2 7HQ,2026-03-22T04:23:55.080971,1 Year Fixed,31.61,,,66.89,9.2,27.05,£50 per fuel,12,
ovo,Southern,BH6 4AS,2026-03-22T04:25:27.476842,1 Year Fixed,31.29,,,62.45,9.41,26.92,£50 per fuel,12,
ovo,South Wales,CF14 2DY,2026-03-22T04:28:37.016689,1 Year Fixed,31.53,,,70.17,9.23,27.68,£50 per fuel,12,
ovo,South West,PL9 7BS,2026-03-22T04:31:13.771867,1 Year Fixed,31.49,,,70.23,9.35,27.04,£50 per fuel,12,
ovo,Yorkshire,YO31 1DT,2026-03-22T04:32:50.389950,1 Year Fixed,30.39,,,76.26,9.18,27.51,£50 per fuel,12,
ovo,North Scotland,AB24 3EN,2026-03-22T04:35:33.752350,1 Year Fixed,31.45,,,70.16,9.19,27.58,£50 per fuel,12,
