supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-03-24T11:50:45.496995,Next Pledge Tracker 12m v10,23.08,,,53.95,5.24,28.74,25,,
eon_next,East Midlands,DE23 6JJ,2026-03-24T11:52:11.659107,Next Pledge Tracker 12m v10,21.82,,,53.61,5.16,28.82,25,,
eon_next,London,N5 2SD,2026-03-24T11:52:48.533399,Next Pledge Tracker 12m v10,23.04,,,44.83,5.48,29.6,25,,
eon_next,North Wales & Merseyside,L3 2BN,2026-03-24T11:54:01.190333,Next Pledge Tracker 12m v10,24.34,,,70.78,5.26,29.48,25,,
eon_next,West Midlands,SY2 6HL,2026-03-24T11:54:40.142678,Next Pledge Tracker 12m v10,22.04,,,59.72,5.25,29.11,25,,
eon_next,North East,NE2 1UY,2026-03-24T11:56:02.239759,Next Pledge Tracker 12m v10,21.95,,,64.3,5.26,29.2,25,,
eon_next,North West,PR4 2NB,2026-03-24T11:58:56.307425,Next Pledge Tracker 12m v10,22.85,,,47.63,5.21,29.22,25,,
eon_next,South East,BN2 7HQ,2026-03-24T11:59:31.608136,Next Pledge Tracker 12m v10,23.37,,,54.45,5.36,28.67,25,,
eon_next,Southern,BH6 4AS,2026-03-24T12:01:18.591145,,,,,,,,,,No valid residential addresses found
eon_next,South Wales,CF14 2DY,2026-03-24T12:03:10.832461,,,,,,,,,,No valid residential addresses found
eon_next,South West,PL9 7BS,2026-03-24T12:05:10.485298,Next Pledge Tracker 12m v10,23.11,,,57.9,5.45,28.72,25,,
eon_next,Yorkshire,YO31 1DT,2026-03-24T12:05:42.265417,Next Pledge Tracker 12m v10,21.95,,,64.3,5.26,29.2,25,,
eon_next,North Scotland,AB24 3EN,2026-03-24T12:08:10.840385,,,,,,,,,,Could not extract rates
eon_next,South Scotland,G20 6NQ,2026-03-24T12:09:30.198372,Next Pledge Tracker 12m v10,22.54,,,64.2,5.21,29.3,25,,
british_gas,Eastern,IP4 5ET,2026-03-24T11:51:03.539544,Fixed Tariff Mar27 v5,26.948,,,48.467,7.783,23.264,£70 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-03-24T11:52:16.354734,Fixed Tariff Mar27 v5,25.685,,,48.127,7.71,23.345,£70 per fuel,,
british_gas,London,N5 2SD,2026-03-24T11:53:29.709570,Fixed Tariff Mar27 v5,26.907,,,39.353,8.023,24.124,£70 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-03-24T11:58:29.692084,Fixed Tariff Mar27 v5,28.204,,,65.298,7.802,23.997,£70 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-03-24T11:59:31.646221,Fixed Tariff Mar27 v5,25.905,,,54.243,7.796,23.632,£70 per fuel,,
british_gas,North East,NE2 1UY,2026-03-24T12:00:39.144728,Fixed Tariff Mar27 v5,25.82,,,58.817,7.804,23.718,£70 per fuel,,
british_gas,North West,PR4 2NB,2026-03-24T12:04:34.307572,Fixed Tariff Mar27 v5,26.714,,,42.146,7.76,23.742,£70 per fuel,,
british_gas,South East,BN2 7HQ,2026-03-24T12:05:40.042213,Fixed Tariff Mar27 v5,27.237,,,48.967,7.91,23.189,£70 per fuel,,
british_gas,Southern,BH6 4AS,2026-03-24T12:06:45.379510,Fixed Tariff Mar27 v5,26.992,,,44.223,8.048,23.077,£70 per fuel,,
british_gas,South Wales,CF14 2DY,2026-03-24T12:12:10.477281,Fixed Tariff Mar27 v5,26.913,,,52.381,7.946,23.871,£70 per fuel,,
british_gas,South West,PL9 7BS,2026-03-24T12:14:23.695570,Fixed Tariff Mar27 v5,26.977,,,52.422,7.999,23.238,£70 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-03-24T12:15:35.412612,Fixed Tariff Mar27 v5,25.82,,,58.817,7.804,23.718,£70 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-03-24T12:20:30.054434,,,,,,,,,,"Timeout: Locator.wait_for: Timeout 20000ms exceeded.
Call log:
  - waiting for locator(""#address-select"") to be visible
"
british_gas,South Scotland,G20 6NQ,2026-03-24T12:21:31.077427,Fixed Tariff Mar27 v5,26.408,,,58.716,7.753,23.816,£70 per fuel,,
ovo,Eastern,IP4 5ET,2026-03-24T11:50:55.416643,1 Year Fixed,31.41,,,66.44,9.07,27.08,£50 per fuel,12,
ovo,East Midlands,DE23 6JJ,2026-03-24T11:52:27.846439,1 Year Fixed,30.42,,,66.15,9.01,27.15,£50 per fuel,12,
ovo,London,N5 2SD,2026-03-24T11:53:57.623639,1 Year Fixed,31.1,,,58.11,9.36,27.76,£50 per fuel,12,
ovo,North Wales & Merseyside,L3 2BN,2026-03-24T11:56:55.743925,1 Year Fixed,32.5,,,82.57,9.18,27.76,£50 per fuel,12,
ovo,West Midlands,SY2 6HL,2026-03-24T11:58:33.049964,1 Year Fixed,30.42,,,71.87,9.09,27.39,£50 per fuel,12,
ovo,North East,NE2 1UY,2026-03-24T12:00:00.535750,1 Year Fixed,30.39,,,76.26,9.18,27.51,£50 per fuel,12,
ovo,North West,PR4 2NB,2026-03-24T12:03:35.928981,1 Year Fixed,34.42,,23.92,58.35,9.01,27.52,£50 per fuel,12,
