supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-03-31T05:45:56.063024,Next Pledge Tracker 12m v10,23.08,,,53.95,5.24,28.74,25,,
eon_next,East Midlands,DE23 6JJ,2026-03-31T05:47:17.091661,Next Pledge Tracker 12m v10,21.82,,,53.61,5.16,28.82,25,,
eon_next,London,N5 2SD,2026-03-31T05:47:56.338310,Next Pledge Tracker 12m v10,23.04,,,44.83,5.48,29.6,25,,
eon_next,North Wales & Merseyside,L3 2BN,2026-03-31T05:49:10.615533,Next Pledge Tracker 12m v10,24.34,,,70.78,5.26,29.48,25,,
eon_next,West Midlands,SY2 6HL,2026-03-31T05:49:50.567832,Next Pledge Tracker 12m v10,22.04,,,59.72,5.25,29.11,25,,
eon_next,North East,NE2 1UY,2026-03-31T05:51:01.787629,Next Pledge Tracker 12m v10,21.95,,,64.3,5.26,29.2,25,,
eon_next,North West,PR4 2NB,2026-03-31T05:53:14.769846,Next Pledge Tracker 12m v10,22.85,,,47.63,5.21,29.22,25,,
eon_next,South East,BN2 7HQ,2026-03-31T05:54:14.979280,Next Pledge Tracker 12m v10,23.37,,,54.45,5.36,28.67,25,,
eon_next,Southern,BH6 4AS,2026-03-31T06:04:33.988938,,,,,,,,,,No valid residential addresses found
eon_next,South Wales,CF14 2DY,2026-03-31T06:05:46.918215,,,,,,,,,,No valid residential addresses found
eon_next,South West,PL9 7BS,2026-03-31T05:58:32.048534,Next Pledge Tracker 12m v10,23.11,,,57.9,5.45,28.72,25,,
eon_next,Yorkshire,YO31 1DT,2026-03-31T05:59:04.651383,Next Pledge Tracker 12m v10,21.95,,,64.3,5.26,29.2,25,,
eon_next,North Scotland,AB24 3EN,2026-03-31T06:07:23.003357,,,,,,,,,,Could not extract rates
eon_next,South Scotland,G20 6NQ,2026-03-31T06:03:12.011124,Next Pledge Tracker 12m v10,22.54,,,64.2,5.21,29.3,25,,
british_gas,Eastern,IP4 5ET,2026-03-31T05:46:05.675226,Fixed Tariff Mar27 v6,25.663,,,46.855,6.867,32.28,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-03-31T05:47:06.754562,Fixed Tariff Mar27 v6,24.705,,,47.688,6.932,32.363,£50 per fuel,,
british_gas,London,N5 2SD,2026-03-31T05:48:10.257932,Fixed Tariff Mar27 v6,24.585,,,44.659,7.378,33.183,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-03-31T05:50:31.285103,Fixed Tariff Mar27 v6,27.224,,,68.55,7.246,33.046,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-03-31T05:54:12.578825,Fixed Tariff Mar27 v6,25.018,,,51.603,7.017,32.667,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-03-31T05:55:12.412830,Fixed Tariff Mar27 v6,25.323,,,58.468,6.943,32.757,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-03-31T06:00:14.943493,Fixed Tariff Mar27 v6,24.796,,,49.76,7.006,32.786,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-03-31T06:01:12.391834,Fixed Tariff Mar27 v6,26.518,,,46.198,7.162,32.214,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-03-31T06:04:44.093900,Fixed Tariff Mar27 v6,25.881,,,43.226,7.367,32.093,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-03-31T06:07:22.012819,Fixed Tariff Mar27 v6,26.244,,,50.292,7.238,32.912,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-03-31T06:08:18.447587,Fixed Tariff Mar27 v6,25.774,,,52.635,7.355,32.254,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-03-31T06:09:18.940030,Fixed Tariff Mar27 v6,25.323,,,58.468,6.943,32.757,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-03-31T06:11:42.344244,Fixed Tariff Mar27 v6,25.592,,,59.601,6.889,32.826,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-03-31T06:12:49.127949,Fixed Tariff Mar27 v6,26.003,,,55.153,6.889,32.857,£50 per fuel,,
ovo,Eastern,IP4 5ET,2026-03-31T05:46:04.527139,1 Year Fixed,31.12,,,64.72,8.87,26.07,£50 per fuel,12,
ovo,East Midlands,DE23 6JJ,2026-03-31T05:47:29.824379,1 Year Fixed,30.08,,,64.4,8.81,26.16,£50 per fuel,12,
ovo,London,N5 2SD,2026-03-31T05:49:00.081789,1 Year Fixed,30.82,,,56.21,9.16,26.78,£50 per fuel,12,
ovo,North Wales & Merseyside,L3 2BN,2026-03-31T05:52:03.050492,1 Year Fixed,32.4,,,80.72,8.98,26.75,£50 per fuel,12,
ovo,West Midlands,SY2 6HL,2026-03-31T05:53:35.421271,1 Year Fixed,30.21,,,70.17,8.89,26.39,£50 per fuel,12,
ovo,North East,NE2 1UY,2026-03-31T05:55:08.896762,1 Year Fixed,30.18,,,74.51,8.98,26.5,£50 per fuel,12,
ovo,North West,PR4 2NB,2026-03-31T05:58:15.543008,1 Year Fixed,34.2,,23.7,58.35,8.82,26.52,£50 per fuel,12,
ovo,South East,BN2 7HQ,2026-03-31T05:59:59.287305,1 Year Fixed,31.37,,,65.19,9.01,26.04,£50 per fuel,12,
ovo,Southern,BH6 4AS,2026-03-31T06:01:29.256215,1 Year Fixed,30.81,,,60.72,9.22,25.92,£50 per fuel,12,
ovo,South Wales,CF14 2DY,2026-03-31T06:04:32.809070,1 Year Fixed,31.21,,,68.45,9.02,26.67,£50 per fuel,12,
ovo,South West,PL9 7BS,2026-03-31T06:06:09.511885,1 Year Fixed,31.16,,,68.47,9.14,26.04,£50 per fuel,12,
ovo,Yorkshire,YO31 1DT,2026-03-31T06:07:31.930795,1 Year Fixed,30.18,,,74.51,8.98,26.5,£50 per fuel,12,
ovo,North Scotland,AB24 3EN,2026-03-31T06:10:11.996674,1 Year Fixed,30.88,,,68.22,8.99,26.58,£50 per fuel,12,
ovo,South Scotland,G20 6NQ,2026-03-31T06:11:43.057376,1 Year Fixed,30.88,,,74.42,8.99,26.6,£50 per fuel,12,
octopus,Eastern,IP4 5ET,2026-02-09T19:00:56.035644,Agile Octopus,19.9605,,,48.788145,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-02-09T19:00:56.036644,Agile Octopus,19.005,,,54.84696,,,£0,,
octopus,London,N5 2SD,2026-02-09T19:00:56.036644,Agile Octopus,19.005,,,39.535125,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2026-02-09T19:00:56.036644,Agile Octopus,20.9055,,,65.83542,,,£0,,
octopus,West Midlands,SY2 6HL,2026-02-09T19:00:56.037169,Agile Octopus,19.9605,,,61.56108,,,£0,,
