supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2025-12-31T21:40:48.698426,,,,,,,,,,Could not extract rates
eon_next,East Midlands,DE23 6JJ,2025-12-31T21:46:45.467348,,,,,,,,,,Could not extract rates
eon_next,London,N5 2SD,2025-12-31T21:52:22.382152,,,,,,,,,,Could not extract rates
british_gas,Eastern,IP4 5ET,2025-12-31T21:36:44.570107,Fixed Tariff Dec26 v3,25.9,,,47.018,5.434,32.436,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2025-12-31T21:37:52.271078,Fixed Tariff Dec26 v3,24.925,,,47.852,5.406,32.52,£50 per fuel,,
british_gas,London,N5 2SD,2025-12-31T21:39:01.316960,Fixed Tariff Dec26 v3,25.002,,,44.823,5.645,33.339,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2025-12-31T21:41:22.869096,Fixed Tariff Dec26 v3,27.093,,,68.714,5.687,33.201,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2025-12-31T21:42:18.326699,Fixed Tariff Dec26 v3,25.015,,,51.768,5.455,32.822,£50 per fuel,,
british_gas,North East,NE2 1UY,2025-12-31T21:43:28.306983,Fixed Tariff Dec26 v3,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North West,PR4 2NB,2025-12-31T21:45:58.982146,Fixed Tariff Dec26 v3,26.48,,,49.924,5.275,32.942,£50 per fuel,,
british_gas,South East,BN2 7HQ,2025-12-31T21:47:03.851574,Fixed Tariff Dec26 v3,26.29,,,46.362,5.474,32.37,£50 per fuel,,
british_gas,Southern,BH6 4AS,2025-12-31T21:48:01.900125,Fixed Tariff Dec26 v3,25.846,,,43.391,5.562,32.249,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2025-12-31T21:50:21.101536,Fixed Tariff Dec26 v3,26.205,,,50.456,5.689,33.069,£50 per fuel,,
british_gas,South West,PL9 7BS,2025-12-31T21:51:23.240739,Fixed Tariff Dec26 v3,26.194,,,52.8,5.78,32.41,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2025-12-31T21:52:25.123050,Fixed Tariff Dec26 v3,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2025-12-31T21:54:38.861190,Fixed Tariff Dec26 v3,26.427,,,59.765,5.41,32.983,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2025-12-31T21:55:42.156284,Fixed Tariff Dec26 v3,25.205,,,55.318,5.595,33.012,£50 per fuel,,
ovo,Eastern,IP4 5ET,2025-12-31T21:36:36.607477,1 Year Fixed,26.9,,,55.65,6.01,28.04,£50 per fuel,12,
ovo,East Midlands,DE23 6JJ,2025-12-31T21:38:04.092449,1 Year Fixed,25.95,,,56.07,5.93,27.49,£50 per fuel,,
ovo,London,N5 2SD,2025-12-31T21:39:28.858069,1 Year Fixed,26.05,,,51.32,6.18,30.4,£50 per fuel,12,
ovo,North Wales & Merseyside,L3 2BN,2025-12-31T21:42:35.645629,1 Year Fixed,28.14,,,75.22,6.1,30.26,£50 per fuel,,
ovo,West Midlands,SY2 6HL,2025-12-31T21:44:06.884877,1 Year Fixed,26.01,,,60.83,6.0,27.94,£50 per fuel,,
ovo,North East,NE2 1UY,2025-12-31T21:45:42.278154,1 Year Fixed,25.8,,,66.83,6.08,27.88,£50 per fuel,,
ovo,North West,PR4 2NB,2025-12-31T21:48:48.686179,1 Year Fixed,28.63,,,55.43,20.76,31.03,£50 per fuel,12,
ovo,South East,BN2 7HQ,2025-12-31T21:50:28.201103,1 Year Fixed,27.22,,,55.83,5.97,27.34,£50 per fuel,12,
ovo,Southern,BH6 4AS,2025-12-31T21:52:03.807946,1 Year Fixed,26.88,,,51.98,6.13,28.28,£50 per fuel,12,
ovo,South Wales,CF14 2DY,2025-12-31T21:55:20.836451,1 Year Fixed,27.22,,,59.28,6.26,27.5,£50 per fuel,12,
ovo,South West,PL9 7BS,2025-12-31T21:56:43.691822,1 Year Fixed,27.22,,,61.01,6.27,28.42,£50 per fuel,12,
ovo,Yorkshire,YO31 1DT,2025-12-31T21:58:08.722854,1 Year Fixed,25.8,,,66.83,6.08,27.88,£50 per fuel,12,
ovo,North Scotland,AB24 3EN,2025-12-31T22:01:07.887428,1 Year Fixed,27.52,,,65.24,6.02,31.1,£50 per fuel,,
ovo,South Scotland,G20 6NQ,2025-12-31T22:02:33.553082,1 Year Fixed,26.13,,,64.79,6.04,27.97,£50 per fuel,,
octopus,Eastern,IP4 5ET,2025-12-31T21:36:42.324108,Agile Octopus,19.6245,,,48.788145,,,£0,,
octopus,East Midlands,DE23 6JJ,2025-12-31T21:36:42.324121,Agile Octopus,18.69,,,54.84696,,,£0,,
octopus,London,N5 2SD,2025-12-31T21:36:42.324124,Agile Octopus,18.69,,,39.535125,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2025-12-31T21:36:42.324127,Agile Octopus,20.559,,,65.83542,,,£0,,
octopus,West Midlands,SY2 6HL,2025-12-31T21:36:42.324130,Agile Octopus,19.6245,,,61.56108,,,£0,,
octopus,North East,NE2 1UY,2025-12-31T21:36:42.324132,Agile Octopus,19.6245,,,70.04823,,,£0,,
