supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-01-18T03:49:27.921064,,,,,,,,,,Could not extract rates
eon_next,East Midlands,DE23 6JJ,2026-01-18T03:54:56.025489,,,,,,,,,,Could not extract rates
eon_next,London,N5 2SD,2026-01-18T04:00:58.334397,,,,,,,,,,Could not extract rates
british_gas,Eastern,IP4 5ET,2026-01-18T03:45:28.748643,Fixed Tariff Jan27 v1,25.9,,,47.018,5.434,32.436,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-01-18T03:46:38.957390,Fixed Tariff Jan27 v1,24.925,,,47.852,5.406,32.52,£50 per fuel,,
british_gas,London,N5 2SD,2026-01-18T03:47:47.427139,Fixed Tariff Jan27 v1,25.002,,,44.823,5.645,33.339,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-01-18T03:50:13.016627,Fixed Tariff Jan27 v1,27.093,,,68.714,5.687,33.201,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-01-18T03:51:12.749424,Fixed Tariff Jan27 v1,25.015,,,51.768,5.455,32.822,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-01-18T03:52:16.866913,Fixed Tariff Jan27 v1,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-01-18T03:55:06.374273,Fixed Tariff Jan27 v1,26.48,,,49.924,5.275,32.942,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-01-18T03:55:58.672639,Fixed Tariff Jan27 v1,26.29,,,46.362,5.474,32.37,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-01-18T03:56:58.822826,Fixed Tariff Jan27 v1,25.846,,,43.391,5.562,32.249,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-01-18T03:59:37.379872,Fixed Tariff Jan27 v1,26.205,,,50.456,5.689,33.069,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-01-18T04:00:31.529569,Fixed Tariff Jan27 v1,26.194,,,52.8,5.78,32.41,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-01-18T04:01:42.380344,Fixed Tariff Jan27 v1,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-01-18T04:04:12.598045,Fixed Tariff Jan27 v1,26.427,,,59.765,5.41,32.983,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-01-18T04:05:22.174872,Fixed Tariff Jan27 v1,25.205,,,55.318,5.595,33.012,£50 per fuel,,
ovo,Eastern,IP4 5ET,2026-01-18T03:45:15.863548,1 Year Fixed,26.93,,,58.19,5.82,24.83,£50 per fuel,,
ovo,East Midlands,DE23 6JJ,2026-01-18T03:46:42.145693,1 Year Fixed,26.0,,,58.11,5.76,24.92,£50 per fuel,,
ovo,London,N5 2SD,2026-01-18T03:48:08.365407,1 Year Fixed,26.51,,,50.99,5.99,25.64,£50 per fuel,,
ovo,North Wales & Merseyside,L3 2BN,2026-01-18T03:51:28.668056,1 Year Fixed,28.07,,,75.14,5.87,25.58,£50 per fuel,,
ovo,West Midlands,SY2 6HL,2026-01-18T03:53:00.364933,1 Year Fixed,26.02,,,63.49,5.86,25.19,£50 per fuel,,
