supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-01-25T03:56:07.229824,,,,,,,,,,No valid residential addresses found
eon_next,East Midlands,DE23 6JJ,2026-01-25T03:57:05.558005,Next Fixed 18m v30,23.79,5.64,,49.08,5.64,33.75,50,,
eon_next,London,N5 2SD,2026-01-25T03:58:35.865092,Next Fixed 18m v30,24.0,5.25,,47.11,5.25,35.62,50,,
eon_next,North Wales & Merseyside,L3 2BN,2026-01-25T04:02:34.697276,Next Fixed 18m v30,25.43,5.21,,71.01,5.21,35.49,50,,
eon_next,West Midlands,SY2 6HL,2026-01-25T04:03:57.121648,Next Fixed 18m v30,23.92,5.7,,53.0,5.7,34.05,50,,
eon_next,North East,NE2 1UY,2026-01-25T04:07:22.474598,Next Fixed 18m v30,23.93,5.8,,59.86,5.8,34.15,50,,
eon_next,North West,PR4 2NB,2026-01-25T04:10:55.726242,Next Fixed 18m v30,25.06,5.24,,49.04,5.24,35.23,50,,
eon_next,South East,BN2 7HQ,2026-01-25T04:12:38.723875,Next Fixed 18m v30,25.54,5.2,,48.66,5.2,34.68,50,,
eon_next,Southern,BH6 4AS,2026-01-25T04:14:10.047813,Next Fixed 18m v30,25.19,5.32,,45.7,5.32,34.55,50,,
eon_next,South Wales,CF14 2DY,2026-01-25T04:17:59.247717,Next Fixed 18m v30,25.1,5.19,,52.75,5.19,35.35,50,,
eon_next,South West,PL9 7BS,2026-01-25T04:19:17.388998,Next Fixed 18m v30,25.19,5.25,,55.11,5.25,34.71,50,,
eon_next,Yorkshire,YO31 1DT,2026-01-25T04:20:48.780704,Next Fixed 18m v30,23.93,5.8,,59.86,5.8,34.15,50,,
eon_next,North Scotland,AB24 3EN,2026-01-25T04:23:58.611225,Next Fixed 18m v30,25.0,5.12,,62.06,5.12,35.28,50,,
eon_next,South Scotland,G20 6NQ,2026-01-25T04:27:14.663906,Next Fixed 18m v30,24.7,5.14,,57.62,5.14,35.3,50,,
british_gas,Eastern,IP4 5ET,2026-01-25T03:53:28.290706,Fixed Tariff Jan27 v2,27.011,,,48.388,5.564,33.806,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-01-25T03:54:37.566082,Fixed Tariff Jan27 v2,26.036,,,49.222,5.537,33.89,£50 per fuel,,
british_gas,London,N5 2SD,2026-01-25T03:55:39.684570,Fixed Tariff Jan27 v2,26.114,,,46.193,5.775,34.709,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-01-25T03:58:15.995840,Fixed Tariff Jan27 v2,28.204,,,70.084,5.817,34.571,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-01-25T03:59:21.345530,Fixed Tariff Jan27 v2,26.126,,,53.137,5.585,34.192,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-01-25T04:00:33.933945,Fixed Tariff Jan27 v2,25.91,,,60.002,5.695,34.284,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-01-25T04:03:08.920457,Fixed Tariff Jan27 v2,27.591,,,51.294,5.405,34.312,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-01-25T04:04:07.526847,Fixed Tariff Jan27 v2,27.401,,,47.732,5.605,33.74,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-01-25T04:05:00.736320,Fixed Tariff Jan27 v2,26.957,,,44.76,5.692,33.619,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-01-25T04:07:25.145945,Fixed Tariff Jan27 v2,27.316,,,51.826,5.819,34.439,£50 per fuel,,
