supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-04-01T14:24:48.872724,,,,,,,,,,Could not extract rates
eon_next,East Midlands,DE23 6JJ,2026-04-01T14:27:00.987204,,,,,,,,,,Could not extract rates
eon_next,London,N5 2SD,2026-04-01T14:28:59.850248,,,,,,,,,,Could not extract rates
british_gas,Eastern,IP4 5ET,2026-04-01T14:23:42.557374,Fixed Tariff Apr27 v1,26.416,,,47.841,7.062,33.239,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-04-01T14:24:38.110807,Fixed Tariff Apr27 v1,25.484,,,48.674,7.137,33.322,£50 per fuel,,
british_gas,London,N5 2SD,2026-04-01T14:25:50.573157,Fixed Tariff Apr27 v1,25.4,,,45.645,7.537,34.142,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-04-01T14:28:19.293533,Fixed Tariff Apr27 v1,27.794,,,69.537,7.419,34.004,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-04-01T14:30:19.582599,Fixed Tariff Apr27 v1,25.774,,,52.59,7.208,33.625,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-04-01T14:31:21.985664,Fixed Tariff Apr27 v1,26.023,,,59.454,7.112,33.716,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-04-01T14:33:54.311157,Fixed Tariff Apr27 v1,25.533,,,50.747,7.195,33.745,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-04-01T14:35:57.355222,Fixed Tariff Apr27 v1,27.238,,,47.184,7.34,33.173,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-04-01T14:36:59.892974,Fixed Tariff Apr27 v1,26.666,,,44.213,7.538,33.052,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-04-01T14:39:19.613702,Fixed Tariff Apr27 v1,26.96,,,51.278,7.406,33.871,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-04-01T14:40:16.135683,Fixed Tariff Apr27 v1,26.481,,,53.622,7.524,33.213,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-04-01T14:41:19.588242,Fixed Tariff Apr27 v1,26.023,,,59.454,7.112,33.716,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-04-01T14:43:42.498755,Fixed Tariff Apr27 v1,26.216,,,60.587,7.062,33.785,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-04-01T14:44:41.589031,Fixed Tariff Apr27 v1,26.716,,,56.14,7.062,33.815,£50 per fuel,,
