supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-03-26T05:43:12.423725,Next Pledge Tracker 12m v10,23.08,,,53.95,5.24,28.74,25,,
eon_next,East Midlands,DE23 6JJ,2026-03-26T06:06:19.060862,Next Pledge Tracker 12m v10,21.82,,,53.61,5.16,28.82,25,,
eon_next,London,N5 2SD,2026-03-26T05:45:25.719492,Next Pledge Tracker 12m v10,23.04,,,44.83,5.48,29.6,25,,
eon_next,North Wales & Merseyside,L3 2BN,2026-03-26T05:46:40.415839,Next Pledge Tracker 12m v10,24.34,,,70.78,5.26,29.48,25,,
eon_next,West Midlands,SY2 6HL,2026-03-26T05:47:21.632065,Next Pledge Tracker 12m v10,22.04,,,59.72,5.25,29.11,25,,
eon_next,North East,NE2 1UY,2026-03-26T05:50:46.908661,Next Pledge Tracker 12m v10,21.95,,,64.3,5.26,29.2,25,,
eon_next,North West,PR4 2NB,2026-03-26T05:52:48.713009,Next Pledge Tracker 12m v10,22.85,,,47.63,5.21,29.22,25,,
eon_next,South East,BN2 7HQ,2026-03-26T05:53:28.039326,Next Pledge Tracker 12m v10,23.37,,,54.45,5.36,28.67,25,,
eon_next,Southern,BH6 4AS,2026-03-26T06:08:06.728873,,,,,,,,,,No valid residential addresses found
eon_next,South Wales,CF14 2DY,2026-03-26T06:09:30.763710,,,,,,,,,,No valid residential addresses found
eon_next,South West,PL9 7BS,2026-03-26T06:01:04.619614,Next Pledge Tracker 12m v10,23.11,,,57.9,5.45,28.72,25,,
eon_next,Yorkshire,YO31 1DT,2026-03-26T06:01:37.511139,Next Pledge Tracker 12m v10,21.95,,,64.3,5.26,29.2,25,,
eon_next,North Scotland,AB24 3EN,2026-03-26T06:10:58.893584,,,,,,,,,,Could not extract rates
eon_next,South Scotland,G20 6NQ,2026-03-26T06:05:20.709075,Next Pledge Tracker 12m v10,22.54,,,64.2,5.21,29.3,25,,
british_gas,Eastern,IP4 5ET,2026-03-26T05:43:23.968158,Fixed Tariff Mar27 v6,25.663,,,46.855,6.867,32.28,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-03-26T05:44:35.558775,Fixed Tariff Mar27 v6,24.705,,,47.688,6.932,32.363,£50 per fuel,,
british_gas,London,N5 2SD,2026-03-26T05:45:36.747283,Fixed Tariff Mar27 v6,24.585,,,44.659,7.378,33.183,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-03-26T05:48:04.365339,Fixed Tariff Mar27 v6,27.224,,,68.55,7.246,33.046,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-03-26T05:48:54.363027,Fixed Tariff Mar27 v6,25.018,,,51.603,7.017,32.667,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-03-26T05:49:54.294211,Fixed Tariff Mar27 v6,25.323,,,58.468,6.943,32.757,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-03-26T05:52:14.754179,Fixed Tariff Mar27 v6,24.796,,,49.76,7.006,32.786,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-03-26T05:53:20.288358,Fixed Tariff Mar27 v6,26.518,,,46.198,7.162,32.214,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-03-26T05:54:16.792258,Fixed Tariff Mar27 v6,25.881,,,43.226,7.367,32.093,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-03-26T05:59:18.953500,Fixed Tariff Mar27 v6,26.244,,,50.292,7.238,32.912,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-03-26T06:01:23.141545,Fixed Tariff Mar27 v6,25.774,,,52.635,7.355,32.254,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-03-26T06:03:37.156196,Fixed Tariff Mar27 v6,25.323,,,58.468,6.943,32.757,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-03-26T06:05:56.939433,Fixed Tariff Mar27 v6,25.592,,,59.601,6.889,32.826,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-03-26T06:09:39.463694,,,,,,,,,,"Timeout: Locator.wait_for: Timeout 20000ms exceeded.
Call log:
  - waiting for locator(""#address-select"") to be visible
"
ovo,Eastern,IP4 5ET,2026-03-26T05:43:22.325836,1 Year Fixed,29.39,,,64.73,8.3,26.07,£50 per fuel,12,
ovo,East Midlands,DE23 6JJ,2026-03-26T05:44:55.595942,1 Year Fixed,28.4,,,64.41,8.23,26.16,£50 per fuel,12,
ovo,London,N5 2SD,2026-03-26T05:47:01.259829,1 Year Fixed,29.1,,,56.22,8.58,26.78,£50 per fuel,12,
ovo,North Wales & Merseyside,L3 2BN,2026-03-26T05:50:07.313802,1 Year Fixed,30.48,,,80.73,8.4,26.75,£50 per fuel,12,
ovo,West Midlands,SY2 6HL,2026-03-26T05:51:36.453352,1 Year Fixed,28.4,,,70.18,8.31,26.39,£50 per fuel,12,
ovo,North East,NE2 1UY,2026-03-26T05:53:01.538409,1 Year Fixed,28.37,,,74.52,8.4,26.5,£50 per fuel,12,
ovo,North West,PR4 2NB,2026-03-26T05:56:25.741841,1 Year Fixed,32.39,,21.89,58.35,8.24,26.51,£50 per fuel,12,
