supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-01-04T03:55:04.153627,,,,,,,,,,Could not extract rates
eon_next,East Midlands,DE23 6JJ,2026-01-04T04:00:14.576839,,,,,,,,,,Could not extract rates
eon_next,London,N5 2SD,2026-01-04T04:06:08.533630,,,,,,,,,,Could not extract rates
british_gas,Eastern,IP4 5ET,2026-01-04T03:52:27.616739,Fixed Tariff Jan27 v1,25.9,,,47.018,5.434,32.436,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-01-04T03:53:26.064121,Fixed Tariff Jan27 v1,24.925,,,47.852,5.406,32.52,£50 per fuel,,
british_gas,London,N5 2SD,2026-01-04T03:54:31.558417,Fixed Tariff Jan27 v1,25.002,,,44.823,5.645,33.339,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-01-04T03:57:11.976298,Fixed Tariff Jan27 v1,27.093,,,68.714,5.687,33.201,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-01-04T03:58:14.846076,Fixed Tariff Jan27 v1,25.015,,,51.768,5.455,32.822,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-01-04T03:59:21.129974,Fixed Tariff Jan27 v1,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-01-04T04:02:01.867519,Fixed Tariff Jan27 v1,26.48,,,49.924,5.275,32.942,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-01-04T04:02:51.480876,Fixed Tariff Jan27 v1,26.29,,,46.362,5.474,32.37,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-01-04T04:03:53.500951,Fixed Tariff Jan27 v1,25.846,,,43.391,5.562,32.249,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-01-04T04:06:19.763263,Fixed Tariff Jan27 v1,26.205,,,50.456,5.689,33.069,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-01-04T04:07:20.748546,Fixed Tariff Jan27 v1,26.194,,,52.8,5.78,32.41,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-01-04T04:08:34.213259,Fixed Tariff Jan27 v1,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-01-04T04:11:03.649407,Fixed Tariff Jan27 v1,26.427,,,59.765,5.41,32.983,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-01-04T04:12:12.108160,Fixed Tariff Jan27 v1,25.205,,,55.318,5.595,33.012,£50 per fuel,,
ovo,Eastern,IP4 5ET,2026-01-04T03:50:17.087549,1 Year Fixed,26.9,,,55.65,6.01,28.04,£50 per fuel,,
ovo,East Midlands,DE23 6JJ,2026-01-04T03:51:43.511431,1 Year Fixed,25.95,,,56.07,5.93,27.49,£50 per fuel,,
ovo,London,N5 2SD,2026-01-04T03:53:21.593070,1 Year Fixed,26.05,,,51.32,6.18,30.4,£50 per fuel,12,
ovo,North Wales & Merseyside,L3 2BN,2026-01-04T03:56:22.284167,1 Year Fixed,28.14,,,75.22,6.1,30.26,£50 per fuel,,
ovo,West Midlands,SY2 6HL,2026-01-04T03:57:55.491804,1 Year Fixed,26.01,,,60.83,6.0,27.94,£50 per fuel,12,
ovo,North East,NE2 1UY,2026-01-04T03:59:31.363717,1 Year Fixed,25.8,,,66.83,6.08,27.88,£50 per fuel,12,
ovo,North West,PR4 2NB,2026-01-04T04:03:03.869869,1 Year Fixed,28.63,,,55.43,20.76,31.03,£50 per fuel,12,
ovo,South East,BN2 7HQ,2026-01-04T04:04:48.702452,1 Year Fixed,27.22,,,55.83,5.97,27.34,£50 per fuel,12,
ovo,Southern,BH6 4AS,2026-01-04T04:06:15.518982,1 Year Fixed,26.88,,,51.98,6.13,28.28,£50 per fuel,12,
ovo,South Wales,CF14 2DY,2026-01-04T04:09:19.647400,1 Year Fixed,27.22,,,59.28,6.26,27.5,£50 per fuel,12,
ovo,South West,PL9 7BS,2026-01-04T04:10:44.539952,1 Year Fixed,27.22,,,61.01,6.27,28.42,£50 per fuel,12,
ovo,Yorkshire,YO31 1DT,2026-01-04T04:12:09.151506,1 Year Fixed,25.8,,,66.83,6.08,27.88,£50 per fuel,,
ovo,North Scotland,AB24 3EN,2026-01-04T04:15:11.298100,1 Year Fixed,27.52,,,65.24,6.02,31.1,£50 per fuel,12,
ovo,South Scotland,G20 6NQ,2026-01-04T04:16:47.638868,1 Year Fixed,26.13,,,64.79,6.04,27.97,£50 per fuel,,
octopus,Eastern,IP4 5ET,2026-01-04T03:50:21.537133,Agile Octopus,19.2255,,,48.788145,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-01-04T03:50:21.537145,Agile Octopus,18.312,,,54.84696,,,£0,,
octopus,London,N5 2SD,2026-01-04T03:50:21.537149,Agile Octopus,18.312,,,39.535125,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2026-01-04T03:50:21.537152,Agile Octopus,20.139,,,65.83542,,,£0,,
octopus,West Midlands,SY2 6HL,2026-01-04T03:50:21.537154,Agile Octopus,19.2255,,,61.56108,,,£0,,
octopus,North East,NE2 1UY,2026-01-04T03:50:21.537156,Agile Octopus,19.2255,,,70.04823,,,£0,,
