supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
eon_next,Eastern,IP4 5ET,2026-01-11T03:53:36.731161,,,,,,,,,,No valid residential addresses found
eon_next,East Midlands,DE23 6JJ,2026-01-11T03:58:31.474078,,,,,,,,,,Could not extract rates
eon_next,London,N5 2SD,2026-01-11T04:04:09.801888,,,,,,,,,,Could not extract rates
british_gas,Eastern,IP4 5ET,2026-01-11T03:49:47.662545,Fixed Tariff Jan27 v1,25.9,,,47.018,5.434,32.436,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-01-11T03:50:51.019436,Fixed Tariff Jan27 v1,24.925,,,47.852,5.406,32.52,£50 per fuel,,
british_gas,London,N5 2SD,2026-01-11T03:52:05.365166,Fixed Tariff Jan27 v1,25.002,,,44.823,5.645,33.339,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-01-11T03:54:23.449250,Fixed Tariff Jan27 v1,27.093,,,68.714,5.687,33.201,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-01-11T03:55:15.659935,Fixed Tariff Jan27 v1,25.015,,,51.768,5.455,32.822,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-01-11T03:56:28.096878,Fixed Tariff Jan27 v1,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-01-11T03:58:52.798526,Fixed Tariff Jan27 v1,26.48,,,49.924,5.275,32.942,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-01-11T03:59:53.513780,Fixed Tariff Jan27 v1,26.29,,,46.362,5.474,32.37,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-01-11T04:00:58.741645,Fixed Tariff Jan27 v1,25.846,,,43.391,5.562,32.249,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-01-11T04:03:37.062895,Fixed Tariff Jan27 v1,26.205,,,50.456,5.689,33.069,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-01-11T04:04:38.702479,Fixed Tariff Jan27 v1,26.194,,,52.8,5.78,32.41,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-01-11T04:05:47.164425,Fixed Tariff Jan27 v1,24.799,,,58.632,5.565,32.914,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-01-11T04:08:01.745420,Fixed Tariff Jan27 v1,26.427,,,59.765,5.41,32.983,£50 per fuel,,
british_gas,South Scotland,G20 6NQ,2026-01-11T04:09:03.029630,Fixed Tariff Jan27 v1,25.205,,,55.318,5.595,33.012,£50 per fuel,,
ovo,Eastern,IP4 5ET,2026-01-11T03:49:40.965967,1 Year Fixed,26.86,,,56.71,5.83,26.4,£50 per fuel,,
ovo,East Midlands,DE23 6JJ,2026-01-11T03:51:07.725826,1 Year Fixed,25.94,,,56.65,5.78,26.48,£50 per fuel,12,
ovo,London,N5 2SD,2026-01-11T03:52:38.863864,1 Year Fixed,26.43,,,49.63,6.0,27.2,£50 per fuel,12,
ovo,North Wales & Merseyside,L3 2BN,2026-01-11T03:55:55.516791,1 Year Fixed,27.99,,,73.74,5.88,27.14,£50 per fuel,12,
ovo,West Midlands,SY2 6HL,2026-01-11T03:57:21.629952,1 Year Fixed,25.97,,,61.99,5.87,26.75,£50 per fuel,12,
ovo,North East,NE2 1UY,2026-01-11T03:58:49.127517,1 Year Fixed,25.96,,,66.78,5.88,26.87,£50 per fuel,,
ovo,North West,PR4 2NB,2026-01-11T04:01:55.257874,1 Year Fixed,28.76,,,52.72,20.88,26.9,£50 per fuel,12,
ovo,South East,BN2 7HQ,2026-01-11T04:03:37.892401,1 Year Fixed,27.09,,,56.95,5.88,26.36,£50 per fuel,,
ovo,Southern,BH6 4AS,2026-01-11T04:05:08.669006,1 Year Fixed,26.82,,,52.84,6.04,26.23,£50 per fuel,,
ovo,South Wales,CF14 2DY,2026-01-11T04:08:05.675791,1 Year Fixed,27.01,,,60.39,5.97,27.04,£50 per fuel,,
ovo,South West,PL9 7BS,2026-01-11T04:09:41.216296,1 Year Fixed,27.06,,,60.84,6.08,26.37,£50 per fuel,12,
ovo,Yorkshire,YO31 1DT,2026-01-11T04:11:08.089330,1 Year Fixed,25.96,,,66.78,5.88,26.87,£50 per fuel,12,
ovo,North Scotland,AB24 3EN,2026-01-11T04:13:47.695326,1 Year Fixed,27.21,,,62.08,5.81,26.94,£50 per fuel,,
ovo,South Scotland,G20 6NQ,2026-01-11T04:15:25.784779,1 Year Fixed,26.44,,,66.08,5.81,26.88,£50 per fuel,,
octopus,Eastern,IP4 5ET,2026-01-11T03:49:46.978851,Agile Octopus,21.8295,,,48.788145,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-01-11T03:49:46.978868,Agile Octopus,20.79,,,54.84696,,,£0,,
octopus,London,N5 2SD,2026-01-11T03:49:46.978875,Agile Octopus,20.79,,,39.535125,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2026-01-11T03:49:46.978880,Agile Octopus,22.869,,,65.83542,,,£0,,
octopus,West Midlands,SY2 6HL,2026-01-11T03:49:46.978885,Agile Octopus,21.8295,,,61.56108,,,£0,,
octopus,North East,NE2 1UY,2026-01-11T03:49:46.978890,Agile Octopus,21.8295,,,70.04823,,,£0,,
octopus,North West,PR4 2NB,2026-01-11T03:49:46.978895,Agile Octopus,21.8295,,,49.98336,,,£0,,
octopus,Southern,BH6 4AS,2026-01-11T03:49:46.978903,Agile Octopus,21.8295,,,62.224785,,,£0,,
octopus,South East,BN2 7HQ,2026-01-11T03:49:46.978908,Agile Octopus,22.869,,,55.78566,,,£0,,
octopus,South Wales,CF14 2DY,2026-01-11T03:49:46.978913,Agile Octopus,22.869,,,62.064135,,,£0,,
octopus,South West,PL9 7BS,2026-01-11T03:49:46.978917,Agile Octopus,23.9085,,,66.066105,,,£0,,
octopus,Yorkshire,YO31 1DT,2026-01-11T03:49:46.978922,Agile Octopus,20.79,,,66.26277,,,£0,,
octopus,South Scotland,G20 6NQ,2026-01-11T03:49:46.978932,Agile Octopus,21.8295,,,62.11863,,,£0,,
octopus,North Scotland,AB24 3EN,2026-01-11T03:49:46.978937,Agile Octopus,24.948,,,59.928225,,,£0,,
octopus,Eastern,IP4 5ET,2026-01-11T03:49:47.680384,Cosy Octopus,14.62608,,,48.388515,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-01-11T03:49:47.680394,Cosy Octopus,14.08806,,,48.31659,,,£0,,
octopus,London,N5 2SD,2026-01-11T03:49:47.680398,Cosy Octopus,14.131005,,,45.465735,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2026-01-11T03:49:47.680400,Cosy Octopus,15.283905,,,69.026055,,,£0,,
octopus,West Midlands,SY2 6HL,2026-01-11T03:49:47.680402,Cosy Octopus,14.137935,,,52.493595,,,£0,,
octopus,North East,NE2 1UY,2026-01-11T03:49:47.680405,Cosy Octopus,14.01855,,,58.897125,,,£0,,
octopus,North West,PR4 2NB,2026-01-11T03:49:47.680408,Cosy Octopus,14.9457,,,50.28996,,,£0,,
octopus,Southern,BH6 4AS,2026-01-11T03:49:47.680410,Cosy Octopus,14.596155,,,44.50782,,,£0,,
octopus,South East,BN2 7HQ,2026-01-11T03:49:47.680412,Cosy Octopus,14.841015,,,47.76429,,,£0,,
octopus,South Wales,CF14 2DY,2026-01-11T03:49:47.680414,Cosy Octopus,14.79387,,,50.48274,,,£0,,
octopus,South West,PL9 7BS,2026-01-11T03:49:47.680416,Cosy Octopus,14.788305,,,54.389265,,,£0,,
octopus,Yorkshire,YO31 1DT,2026-01-11T03:49:47.680418,Cosy Octopus,13.96521,,,57.84429,,,£0,,
octopus,South Scotland,G20 6NQ,2026-01-11T03:49:47.680421,Cosy Octopus,14.24304,,,57.28044,,,£0,,
octopus,North Scotland,AB24 3EN,2026-01-11T03:49:47.680423,Cosy Octopus,14.916615,,,61.67889,,,£0,,
octopus,Eastern,IP4 5ET,2026-01-11T03:49:48.300971,Cosy Octopus 12M Fixed,28.649355,,,47.7036,,,£25 per fuel,,
octopus,East Midlands,DE23 6JJ,2026-01-11T03:49:48.300983,Cosy Octopus 12M Fixed,27.59547,,,47.631675,,,£25 per fuel,,
octopus,London,N5 2SD,2026-01-11T03:49:48.300986,Cosy Octopus 12M Fixed,27.67968,,,44.78082,,,£25 per fuel,,
octopus,North Wales & Merseyside,L3 2BN,2026-01-11T03:49:48.300989,Cosy Octopus 12M Fixed,29.93802,,,68.34114,,,£25 per fuel,,
octopus,West Midlands,SY2 6HL,2026-01-11T03:49:48.300992,Cosy Octopus 12M Fixed,27.693225,,,51.80868,,,£25 per fuel,,
octopus,North East,NE2 1UY,2026-01-11T03:49:48.300995,Cosy Octopus 12M Fixed,27.459495,,,58.21221,,,£25 per fuel,,
octopus,North West,PR4 2NB,2026-01-11T03:49:48.300998,Cosy Octopus 12M Fixed,29.275575,,,49.605045,,,£25 per fuel,,
octopus,Southern,BH6 4AS,2026-01-11T03:49:48.301000,Cosy Octopus 12M Fixed,28.59087,,,43.822905,,,£25 per fuel,,
octopus,South East,BN2 7HQ,2026-01-11T03:49:48.301003,Cosy Octopus 12M Fixed,29.070405,,,47.07927,,,£25 per fuel,,
octopus,South Wales,CF14 2DY,2026-01-11T03:49:48.301005,Cosy Octopus 12M Fixed,28.978215,,,49.797825,,,£25 per fuel,,
octopus,South West,PL9 7BS,2026-01-11T03:49:48.301008,Cosy Octopus 12M Fixed,28.96719,,,53.70435,,,£25 per fuel,,
octopus,Yorkshire,YO31 1DT,2026-01-11T03:49:48.301010,Cosy Octopus 12M Fixed,27.354915,,,57.15927,,,£25 per fuel,,
octopus,South Scotland,G20 6NQ,2026-01-11T03:49:48.301013,Cosy Octopus 12M Fixed,27.89913,,,56.595525,,,£25 per fuel,,
octopus,North Scotland,AB24 3EN,2026-01-11T03:49:48.301016,Cosy Octopus 12M Fixed,29.218455,,,60.993975,,,£25 per fuel,,
octopus,Eastern,IP4 5ET,2026-01-11T03:49:48.946812,Octopus Flux Import,28.64316,,,48.388515,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-01-11T03:49:48.946827,Octopus Flux Import,27.666555,,,48.31659,,,£0,,
octopus,London,N5 2SD,2026-01-11T03:49:48.946832,Octopus Flux Import,27.80841,,,45.465735,,,£0,,
octopus,North Wales & Merseyside,L3 2BN,2026-01-11T03:49:48.946836,Octopus Flux Import,29.83428,,,69.026055,,,£0,,
octopus,West Midlands,SY2 6HL,2026-01-11T03:49:48.946840,Octopus Flux Import,27.76809,,,52.493595,,,£0,,
octopus,North East,NE2 1UY,2026-01-11T03:49:48.946844,Octopus Flux Import,27.522915,,,58.897125,,,£0,,
octopus,North West,PR4 2NB,2026-01-11T03:49:48.946848,Octopus Flux Import,29.23998,,,50.28996,,,£0,,
octopus,Southern,BH6 4AS,2026-01-11T03:49:48.946852,Octopus Flux Import,28.554435,,,44.50782,,,£0,,
octopus,South East,BN2 7HQ,2026-01-11T03:49:48.946856,Octopus Flux Import,28.99428,,,47.76429,,,£0,,
octopus,South Wales,CF14 2DY,2026-01-11T03:49:48.946860,Octopus Flux Import,28.92099,,,50.48274,,,£0,,
octopus,South West,PL9 7BS,2026-01-11T03:49:48.946864,Octopus Flux Import,28.87584,,,54.389265,,,£0,,
octopus,Yorkshire,YO31 1DT,2026-01-11T03:49:48.946869,Octopus Flux Import,27.50202,,,57.84429,,,£0,,
octopus,South Scotland,G20 6NQ,2026-01-11T03:49:48.946874,Octopus Flux Import,27.093885,,,57.28044,,,£0,,
octopus,North Scotland,AB24 3EN,2026-01-11T03:49:48.946878,Octopus Flux Import,28.218855,,,61.67889,,,£0,,
octopus,Eastern,IP4 5ET,2026-01-11T03:49:49.595918,Octopus Go 12M Fixed,8.49975,,,47.7036,,,£0,,
octopus,East Midlands,DE23 6JJ,2026-01-11T03:49:49.595930,Octopus Go 12M Fixed,8.49975,,,47.631675,,,£0,,
